Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
353,Demetrius Harris\HarrDe03,KAN,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,79,
354,Darrius Heyward-Bey\HeywDa00,PIT,,31,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,139,
355,Darius Jackson\JackDa01,GNB,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,104,
356,Marcus Johnson\JohnMa07,IND,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,127,
357,Matt LaCosse\LaCoMa00,DEN,,26,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,75,
358,Brandon LaFell\LaFeBr00,OAK,,32,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,145,
359,Marcedes Lewis\LewiMa00,GNB,,34,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,89,
360,Tommylee Lewis\LewiTo00,NOR,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,143,
361,Zach Line\LineZa01,NOR,RB,28,2,0,0,0,0,0,0,0,0,,0,2,1,4,4.00,0,,,,1,1.4,0.9,,98,
362,Bradley Marquez\MarqBr00,DET,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,144,
363,Freddie Martino\MartFr00,TAM,,27,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,148,
364,Tanner McEvoy\McEvTa01,MIA,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,128,
365,Raheem Mostert\MostRa00,SFO,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,107,
366,JJ Nelson\NelsJJ00,ARI,,26,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,131,
367,Detrez Newsome\NewsDe00,LAC,RB,24,2,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,,,,,,,,110,
368,Jamize Olawale\OlawJa00,DAL,,29,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,1,
369,Charone Peake\PeakCh00,NYJ,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,129,
370,Senorise Perry\PerrSe00,MIA,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,111,
371,MyCole Pruitt\PruiMy00,TEN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,74,
372,Brian Quick\QuicBr00,WAS,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,135,
373,Josh Reynolds\ReynJo00,LAR,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,126,
374,Eric Saubert\SaubEr00,ATL,,24,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,81,
375,Matt Schaub\SchaMa00,ATL,QB,37,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,,,,,,,,36,
376,Russell Shepard\ShepRu00,NYG,,28,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,133,
377,Matt Slater\SlatMa00,NWE,,33,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,125,
378,Geno Smith\SmitGe00,LAC,QB,28,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,,0,,,,,-0.1,-0.1,,37,
379,Lee Smith\SmitLe00,OAK,,31,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,87,
380,Nate Solder\SoldNa00,NYG,,30,2,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,72,
381,Jeremy Sprinkle\SpriJe00,WAS,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,77,
382,Mike Thomas\ThomMi04,LAR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,137,
383,Marquez Valdes-Scantling\ValdMa00,GNB,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,,,,1,1.3,0.8,,123,
384,Mike Wallace\WallMi00,PHI,,32,2,2,0,0,0,0,0,0,0,,0,3,0,0,,0,,,,,,,,130,
385,Derek Watt\WattDe00,LAC,RB,26,2,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,,,,,0.1,0.1,,101,
386,Joe Webb\WebbJo00,HOU,,32,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,149,
387,Markus Wheaton\WheaMa00,PHI,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,136,
388,Kevin White\WhitKe00,CHI,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,142,
389,Cole Wick\WickCo00,SFO,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,78,
390,Brandon Wilds\WildBr01,JAX,RB,25,1,0,0,0,0,0,0,3,4,1.33,0,0,0,0,,0,,,,,0.4,0.4,,97,
391,Chad Williams\WillCh05,ARI,,24,2,1,0,0,0,0,0,0,0,,0,6,0,0,,0,,,,,,,,138,
392,Damien Williams\WillDa05,KAN,RB,26,2,0,0,0,0,0,0,1,0,0.00,0,1,1,2,2.00,0,,,,1,1.2,0.7,,99,
393,Jonathan Williams\WillJo07,NOR,RB,24,2,0,0,0,0,0,0,2,-1,-0.50,0,0,0,0,,0,,,,,-0.1,-0.1,,112,
394,DJ Chark\CharDJ00,JAX,WR,22,2,0,0,0,0,0,0,0,0,,0,4,1,13,13.00,0,,,-1,,1.3,-0.2,,152,
395,Matt Cassel\CassMa00,DET,QB,36,1,0,2,6,14,0,1,1,-1,-1.00,0,0,0,0,,0,,,-2,-2,-0.5,-0.5,,38,
396,Kaelin Clay\ClayKa00,NYG,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,-2,-2,-1.0,-2.0,,154,
397,JJ Jones\JoneJJ00,LAC,WR,26,2,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,,,-2,-2,-1.0,-2.0,,153,
398,DeShone Kizer\KizeDe00,GNB,QB,22,1,0,4,7,55,0,1,0,0,,0,0,0,0,,0,,,-2,-2,0.2,-0.8,,39,
399,Nathan Peterman\PeteNa00,BUF,QB,24,1,1,5,18,24,0,2,1,1,1.00,0,0,0,0,,0,,,-3,-3,-0.9,-0.9,,40,
