Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
72,Jordan Reed\ReedJo02,WAS,TE,28,2,1,0,0,0,0,0,0,0,,0,13,10,103,10.30,1,,,14,24,28.3,19.3,,11,72
73,Austin Hooper\HoopAu00,ATL,TE,24,2,0,0,0,0,0,0,0,0,,0,9,8,83,10.38,1,,,14,22,22.3,18.3,,10,73
74,Ryan Hewitt\HewiRy00,IND,,27,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,2,74
75,Shane Smith\SmitSh02,NYG,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,4,75
76,Kenyan Drake\DrakKe00,MIA,RB,24,2,2,0,0,0,0,0,25,101,4.04,1,8,7,35,5.00,0,,,20,27,29.6,23.1,,23,76
77,Joe Flacco\FlacJo00,BAL,QB,33,2,2,57,89,612,5,2,5,11,2.20,0,0,0,0,,0,,,40,40,45.6,41.6,,12,77
78,Ted Ginn\GinnTe00,NOR,WR,33,2,1,0,0,0,0,0,1,5,5.00,0,13,9,123,13.67,1,1,,19,28,31.8,23.3,,30,78
79,Matt Ryan\RyanMa00,ATL,QB,33,2,2,44,71,523,2,2,6,26,4.33,2,0,0,0,,0,,,40,40,44.5,41.5,,13,
80,Tom Brady\BradTo00,NWE,QB,41,2,2,50,74,511,5,1,4,12,3.00,0,0,0,0,,0,,,38,38,42.6,38.6,,14,
81,Jared Goff\GoffJa00,LAR,QB,24,2,2,42,65,587,3,1,3,1,0.33,0,0,0,0,,0,,1,36,36,39.6,36.6,,15,
82,Russell Wilson\WilsRu00,SEA,QB,30,2,2,41,69,524,5,3,5,22,4.40,0,0,0,0,,0,,,35,35,42.2,38.2,,16,
83,Case Keenum\KeenCa00,DEN,QB,30,2,2,44,74,551,3,4,3,16,5.33,1,0,0,0,,0,,,34,34,40.6,37.6,,18,
84,Deshaun Watson\WatsDe00,HOU,QB,23,2,2,39,66,486,3,2,13,84,6.46,0,0,0,0,,0,,,34,34,39.8,35.8,,17,
85,Alex Smith\SmitAl03,WAS,QB,34,2,2,54,76,547,2,0,12,28,2.33,0,0,0,0,,0,,,33,33,35.7,32.7,,20,
86,Matthew Stafford\StafMa00,DET,QB,30,2,2,61,99,633,4,4,2,14,7.00,0,0,0,0,,0,,,33,33,40.7,36.7,,19,
87,Andrew Luck\LuckAn00,IND,QB,29,2,2,60,84,498,4,3,5,9,1.80,0,0,0,0,,0,,,31,31,36.8,33.8,,21,
88,Ryan Tannehill\TannRy00,MIA,QB,30,2,2,37,51,398,4,2,12,48,4.00,0,0,0,0,,0,,,31,31,36.7,32.7,,22,
89,Sam Darnold\DarnSa00,NYJ,QB,21,3,3,56,93,701,3,5,8,0,0.00,0,0,0,0,,0,,,30,30,38.0,35.0,,23,
90,Mitch Trubisky\TrubMi00,CHI,QB,24,2,2,48,69,371,2,2,12,56,4.67,1,0,0,0,,0,,,28,28,34.4,30.4,,24,
91,Jimmy Garoppolo\GaroJi00,SFO,QB,27,2,2,33,59,467,3,3,5,10,2.00,0,0,0,0,,0,,,26,26,31.7,28.7,,25,
92,Dak Prescott\PresDa01,DAL,QB,25,2,2,35,54,330,1,0,12,64,5.33,0,0,0,0,,0,1,,24,24,27.6,23.6,,26,
93,Derek Carr\CarrDe02,OAK,QB,27,2,2,58,72,591,1,3,2,1,0.50,0,0,0,0,,0,,,22,22,27.7,24.7,,27,
94,Eli Manning\MannEl00,NYG,QB,37,2,2,56,81,503,1,1,4,6,1.50,0,0,0,0,,0,,,21,21,25.7,21.7,,28,
95,Javorius Allen\AlleJa01,BAL,RB,27,2,0,0,0,0,0,0,10,25,2.50,2,13,10,51,5.10,0,,,20,30,29.6,24.6,,24,
96,Nick Foles\FoleNi00,PHI,QB,29,2,2,54,82,451,1,1,4,7,1.75,0,1,1,10,10.00,0,,,20,21,25.7,21.2,,29,
97,Josh Allen\AlleJo02,BUF,QB,22,2,1,24,48,319,1,2,12,58,4.83,0,0,0,0,,0,,,19,19,23.6,20.6,,30,
98,Kareem Hunt\HuntKa00,KAN,RB,23,2,2,0,0,0,0,0,34,124,3.65,0,2,1,5,5.00,1,,,19,20,22.9,19.4,,25,
99,Dede Westbrook\WestDe00,JAX,WR,25,2,0,0,0,0,0,0,1,-6,-6.00,0,11,9,133,14.78,1,,,19,28,30.7,23.2,,31,
100,Tyler Boyd\BoydTy00,CIN,WR,24,2,2,0,0,0,0,0,0,0,,0,14,9,117,13.00,1,,,18,27,29.7,22.2,,32,
101,Jordan Howard\HowaJo00,CHI,RB,24,2,2,0,0,0,0,0,29,117,4.03,0,9,8,58,7.25,0,,,18,26,28.5,21.5,,28,
102,David Johnson\JohnDa08,ARI,RB,27,2,2,0,0,0,0,0,22,85,3.86,1,11,6,33,5.50,0,,,18,24,23.8,20.8,,27,
103,Lamar Miller\MillLa01,HOU,RB,27,2,2,0,0,0,0,0,34,166,4.88,0,4,3,13,4.33,0,,,18,21,23.9,19.4,,26,
104,Antonio Callaway\CallAn00,CLE,WR,21,3,2,0,0,0,0,0,2,7,3.50,0,15,7,101,14.43,1,,,17,24,26.8,20.3,,36,
105,Corey Clement\ClemCo00,PHI,RB,24,2,0,0,0,0,0,0,11,56,5.09,1,6,5,55,11.00,0,,,17,22,22.1,19.6,,29,
106,Dalvin Cook\CookDa01,MIN,RB,23,2,2,0,0,0,0,0,26,78,3.00,0,12,9,107,11.89,0,,,17,26,29.5,21.0,,30,
107,Phillip Dorsett\DorsPh00,NWE,WR,25,2,1,0,0,0,0,0,0,0,,0,14,12,110,9.17,1,,,17,29,32.0,23.0,,35,
108,Will Fuller\FullWi01,HOU,WR,24,1,1,0,0,0,0,0,0,0,,0,9,8,113,14.13,1,,,17,25,28.3,21.3,,33,
109,Chris Hogan\HogaCh00,NWE,WR,30,2,0,0,0,0,0,0,0,0,,0,10,4,53,13.25,2,,,17,21,21.3,19.3,,34,
110,Marvin Jones\JoneMa02,DET,WR,28,2,2,0,0,0,0,0,0,0,,0,17,8,108,13.50,1,,,17,25,27.8,20.8,,37,
111,Mike Williams\WillMi07,LAC,WR,24,2,1,0,0,0,0,0,0,0,,0,8,7,108,15.43,1,,,17,24,26.8,20.3,,38,
112,Tavon Austin\AustTa00,DAL,RB,28,2,0,0,0,0,0,0,2,16,8.00,0,2,2,79,39.50,1,,,16,18,17.5,16.5,,32,
113,Odell Beckham\BeckOd00,NYG,WR,26,2,2,0,0,0,0,0,1,-1,-1.00,0,24,15,162,10.80,0,,,16,31,34.1,23.6,,40,
114,Royce Freeman\FreeRo00,DEN,RB,22,2,2,0,0,0,0,0,23,99,4.30,1,1,0,0,,0,,,16,16,15.9,15.9,,31,
115,Dante Pettis\PettDa00,SFO,WR,23,2,1,0,0,0,0,0,0,0,,0,7,3,96,32.00,1,,,16,19,18.6,17.1,,42,
116,Terrelle Pryor\PryoTe00,NYJ,WR,29,3,0,0,0,0,0,0,0,0,,0,14,8,158,19.75,0,,,16,24,26.8,19.8,,41,
117,Willie Snead\SneaWi00,BAL,WR,26,2,1,0,0,0,0,0,0,0,,0,14,9,103,11.44,1,,,16,25,28.3,20.8,,39,
118,Alex Collins\CollAl00,BAL,RB,24,2,2,0,0,0,0,0,16,48,3.00,1,5,4,61,15.25,0,,,15,19,19.9,16.9,,33,
119,Michael Crabtree\CrabMi00,BAL,WR,31,2,2,0,0,0,0,0,0,0,,0,16,8,94,11.75,1,,,15,23,23.4,19.4,,43,
120,Brandon Marshall\MarsBr00,SEA,WR,34,2,1,0,0,0,0,0,0,0,,0,12,7,90,12.86,1,,,15,22,22.0,18.5,,45,
121,Sammy Watkins\WatkSa00,KAN,WR,25,2,2,0,0,0,0,0,1,31,31.00,0,12,9,121,13.44,0,,,15,24,27.2,19.7,,44,
122,Jarius Wright\WrigJa02,CAR,WR,29,2,1,0,0,0,0,0,0,0,,0,12,8,85,10.63,1,,,15,23,22.5,18.5,,46,
123,Bruce Ellington\ElliBr00,HOU,WR,27,2,1,0,0,0,0,0,0,0,,0,11,7,82,11.71,1,,,14,21,21.2,17.7,,49,
124,Zach Ertz\ErtzZa00,PHI,TE,28,2,2,0,0,0,0,0,0,0,,0,23,16,142,8.88,0,,,14,30,33.2,22.2,,12,
125,Allen Robinson\RobiAl02,CHI,WR,25,2,1,0,0,0,0,0,0,0,,0,21,14,144,10.29,0,,,14,28,31.4,21.4,,47,
126,Demaryius Thomas\ThomDe03,DEN,WR,31,2,2,0,0,0,0,0,0,0,,0,21,11,81,7.36,1,,,14,25,25.1,19.6,,50,
127,Albert Wilson\WilsAl02,MIA,WR,26,2,0,0,0,0,0,0,4,15,3.75,0,9,6,68,11.33,1,,,14,20,20.3,17.3,,48,
128,Alfred Blue\BlueAl00,HOU,RB,27,2,0,0,0,0,0,0,12,72,6.00,1,0,0,0,,0,,,13,13,13.2,13.2,,34,
129,Amari Cooper\CoopAm00,OAK,WR,24,2,2,0,0,0,0,0,1,9,9.00,0,13,11,125,11.36,0,,,13,24,27.4,18.9,,51,
130,Jakeem Grant\GranJa00,MIA,WR,26,2,1,0,0,0,0,0,1,5,5.00,0,11,7,65,9.29,0,,,13,20,20.0,16.5,,52,
131,Calvin Ridley\RidlCa00,ATL,WR,24,2,0,0,0,0,0,0,1,3,3.00,0,7,4,64,16.00,1,,,13,17,16.7,14.7,,53,
132,Jordan Wilkins\WilkJo01,IND,RB,24,2,1,0,0,0,0,0,24,101,4.21,0,5,5,24,4.80,0,,,13,18,20.5,15.0,,35,
133,Corey Davis\DaviCo03,TEN,WR,23,2,2,0,0,0,0,0,0,0,,0,20,11,117,10.64,0,,,12,23,25.7,17.2,,57,
